,places_name,road_address_name,lat,lng,distance,category_group_name
139,CU CK양평점,서울 영등포구 영등포로3길 16,126.883605890265,37.5247840222616,116,편의점
140,GS25 당산대우점,서울 영등포구 당산로30길 9,126.897713906678,37.5256476289998,242,편의점
141,CU 한강성심병원본점,서울 영등포구 버드나루로7길 12-1,126.9095006850306,37.52288576640572,279,편의점
142,이마트24 영등포성심병원점,서울 영등포구 버드나루로7길 7,126.909993966351,37.5228356872182,269,편의점
143,CU 양평행운점,서울 영등포구 선유서로21길 14,126.883866998069,37.5227335987221,288,편의점
144,세븐일레븐 양평로리점,서울 영등포구 영등포로 33,126.884988427209,37.5232284452477,298,편의점
145,CU 영등포원룸점,서울 영등포구 국회대로54길 39,126.909560375231,37.5221686142268,253,편의점
146,GS25 하이팰리스점,서울 영등포구 선유서로 67,126.884207650204,37.5219050111327,271,편의점
147,GS25 여의쌍마점,서울 영등포구 여의나루로 81,126.92772359632689,37.524321907460326,138,편의점
148,미니스톱 여의IFC점,서울 영등포구 국제금융로2길 7,126.926702897123,37.524628520168825,154,편의점
149,이마트24 여의IFC점,서울 영등포구 국제금융로 10,126.924878742857,37.5251778862954,280,편의점
150,GS25 여의도역점,서울 영등포구 여의나루로 42,126.924945531415,37.5217469118608,242,편의점
151,CU 여의트레뉴점,서울 영등포구 국제금융로2길 37,126.92461046699444,37.52309189518652,206,편의점
152,GS25 여의포스트타워점,서울 영등포구 여의나루로 60,126.926329553553,37.522353256973,112,편의점
153,GS25 더현대서울점,서울 영등포구 여의대로 108,126.928613909844,37.5254991577288,290,편의점
154,GS25 여의파이낸스점,서울 영등포구 국제금융로2길 32,126.924069940596,37.5240024622691,266,편의점
155,GS25 여의도현대점,,126.92736271927402,37.52549298883295,252,편의점
156,부부스토어,서울 영등포구 여의나루로 76,126.928039440742,37.52291293268,104,편의점
157,CU 청담카운티점,서울 강남구 도산대로90길 17,127.049041886371,37.52334994605,163,편의점
158,CU 청담삼환점,서울 강남구 학동로77길 49,127.047606719442,37.5221792299244,107,편의점
159,GS25 청담타운점,서울 강남구 삼성로145길 16,127.04694857871246,37.522555211466575,64,편의점
160,GS25 청담여신점,서울 강남구 도산대로75길 8,127.046178447846,37.5247818920911,208,편의점
161,CU 청담노아점,서울 강남구 압구정로80길 26,127.044617301908,37.5247933041965,297,편의점
162,이마트24 청담하나점,서울 강남구 도산대로78길 31,127.046380454409,37.5221616977831,127,편의점
163,CU 청담경원점,서울 강남구 도산대로 446,127.04482473754616,37.52359309051467,218,편의점
164,GS25 청담빌리지점,서울 강남구 삼성로147길 34,127.046556091047,37.5208173325602,259,편의점
165,이마트24 청담휴먼스타빌점,서울 강남구 도산대로 454,127.046055597192,37.5236863212106,122,편의점
166,세븐일레븐 청담황해점,서울 강남구 삼성로149길 32,127.044937642247,37.5232254386011,202,편의점
167,CU 영등포메아리점,서울 영등포구 버드나루로 29,126.911896249729,37.5213054173616,226,편의점
168,이마트24 영등포어반점,서울 영등포구 국회대로54길 55,126.910453166573,37.5210124072346,214,편의점
169,벙커24 문래현대점,서울 영등포구 문래로4길 4,126.883576454907,37.5204303506975,266,편의점
170,GS25 영등포타운점,서울 영등포구 당산로20길 9-2,126.897368424428,37.523492132521,88,편의점
171,GS25 당산새말점,서울 영등포구 영등포로25길 5,126.897647024105,37.5216074774703,128,편의점
172,미니스톱 당산디벨리움점,서울 영등포구 양산로 141,126.898802375879,37.5238429587081,190,편의점
173,GS25 영등포당일점,서울 영등포구 영등포로27길 8,126.899217138752,37.5216232437293,216,편의점
174,CU 당산사랑점,서울 영등포구 당산로18길 19,126.898228966674,37.5229090277415,95,편의점
175,이마트24 당산온누리점,서울 영등포구 영등포로29길 14,126.900397625401,37.522006270175,294,편의점
