,Unnamed: 0,자치구명,법정동코드,법정동명,지번주소,건물명,층,임대건물명,임대면적,전월세구분,보증금,임대료,건축년도,연식,latitude,longitude,conv_num,in_din_total_300,in_mart_total_1000,in_subway_total_500,in_hosp_total_1000,in_cafe_total_300,police_500,center_500,in_din_total_50,in_subway_total_50,all_score_life,nois_total
588,588,강남구,11800,도곡동,서울특별시 강남구 도곡동 951-7,도곡르비앙,2,다세대/연립,14.96,준월세,1000,53,2013.0,9,37.4866062492018,127.034760707683,20,199,5,2,214,54,1,1,0,0,76.32,42
589,589,관악구,10100,봉천동,서울특별시 관악구 봉천동 955-9,골든빌,3,다세대/연립,19.93,준월세,1000,70,2013.0,9,37.4864510838454,126.936585371757,8,167,4,0,174,26,2,1,8,0,50.22,36
590,590,관악구,10200,신림동,서울특별시 관악구 신림동 1423-8,온누리,4,아파트,13.07,준월세,1000,53,2013.0,9,37.4862421404339,126.930499164719,24,395,3,1,148,76,3,2,26,0,87.64,63
591,591,관악구,10200,신림동,서울특별시 관악구 신림동 1423-8,온누리,10,아파트,13.07,월세,500,49,2013.0,9,37.4862421404339,126.930499164719,24,395,3,1,148,76,3,2,26,0,87.64,63
592,592,동작구,10700,사당동,서울특별시 동작구 사당동 141-94,대진빌라(141-94),2,다세대/연립,15.96,준월세,2000,50,2013.0,9,37.4857791382016,126.978559220007,9,319,5,2,230,47,1,3,0,0,79.68,42
593,593,강남구,11800,도곡동,서울특별시 강남구 도곡동 954-1,반석vill,2,다세대/연립,16.63,준월세,1000,60,2013.0,9,37.4857679727259,127.034687390323,22,234,5,2,193,55,1,1,10,0,77.83,66
594,594,서초구,10100,방배동,서울특별시 서초구 방배동 925-15,(925-15),3,다세대/연립,22.59,준월세,1000,63,2013.0,9,37.4848103183352,126.994924660993,11,150,5,2,102,50,1,1,14,0,73.75,66
595,595,관악구,10200,신림동,서울특별시 관악구 신림동 1433-55,프라비다트라움,6,오피스텔,17.16,월세,500,50,2013.0,9,37.4848051201951,126.928086408982,28,693,2,1,141,116,3,2,45,0,105.99000000000001,63
596,596,관악구,10200,신림동,서울특별시 관악구 신림동 1433-55,프라비다트라움,3,아파트,14.06,월세,500,48,2013.0,9,37.4848051201951,126.928086408982,28,693,2,1,141,116,3,2,45,0,105.99000000000001,63
597,597,관악구,10200,신림동,서울특별시 관악구 신림동 1433-55,프라비다트라움,4,오피스텔,17.16,준전세,6000,15,2013.0,9,37.4848051201951,126.928086408982,28,693,2,1,141,116,3,2,45,0,105.99000000000001,63
598,598,관악구,10200,신림동,서울특별시 관악구 신림동 1433-55,프라비다트라움,6,오피스텔,17.16,전세,15500,0,2013.0,9,37.4848051201951,126.928086408982,28,693,2,1,141,116,3,2,45,0,105.99000000000001,63
599,599,관악구,10200,신림동,서울특별시 관악구 신림동 1433-55,프라비다트라움,8,아파트,14.05,전세,14500,0,2013.0,9,37.4848051201951,126.928086408982,28,693,2,1,141,116,3,2,45,0,105.99000000000001,63
600,600,관악구,10100,봉천동,서울특별시 관악구 봉천동 924-1,은천아이비테라스,4,아파트,23.7,준월세,1000,65,2013.0,9,37.483550735691,126.943883329866,11,247,3,1,191,36,2,1,10,0,75.01,51
601,601,서초구,10800,서초동,서울특별시 서초구 서초동 1451-89,서초중흥S-클래스(도시형생활주택),6,아파트,18.21,준월세,1000,68,2013.0,9,37.4815557644342,127.013402121701,8,84,6,1,83,42,0,1,13,0,59.84,51
602,602,서초구,10800,서초동,서울특별시 서초구 서초동 1451-89,서초중흥S-클래스(도시형생활주택),6,아파트,18.21,준월세,3000,60,2013.0,9,37.4815557644342,127.013402121701,8,84,6,1,83,42,0,1,13,0,59.84,51
603,603,서초구,10100,방배동,서울특별시 서초구 방배동 455-13,방배동베스트빌,3,다세대/연립,23.29,준월세,3000,58,2013.0,9,37.4809172217663,126.983103055215,9,245,4,1,238,72,4,2,4,0,81.21000000000001,39
604,604,서초구,10100,방배동,서울특별시 서초구 방배동 983-24,(983-24),3,다세대/연립,20.56,준월세,4000,68,2013.0,9,37.4801832061111,126.999680832327,7,60,5,1,79,27,2,1,4,0,66.3,39
605,605,관악구,10100,봉천동,서울특별시 관악구 봉천동 867-12,프라비다2,9,아파트,15.64,준월세,1000,60,2013.0,9,37.479680684799,126.950448167247,25,298,2,1,207,74,1,1,2,0,83.58,27
